task_id,title,description,category,priority,assignee,created_date,deadline,estimated_hours
44,High priority: requesting new option for,High priority: requesting new option for admin during mobile,Feature Request,High,vikram,2025-08-26,2025-09-03,2.9
45,Need to investigate the case affecting n,Need to investigate the case affecting notifications performance,Backend,Medium,sneha,2025-03-23,2025-04-04,4.9
46,Document deployment steps for monthly en,Document deployment steps for monthly environment,Feature Request,Medium,rohan,2025-05-01,2025-05-12,13.8
47,Time-sensitive — update API docs for the,Time-sensitive — update API docs for the user profile endpoint,Documentation,High,rohan,2025-08-01,2025-08-08,5.3
48,Optimize database query for notification,Optimize database query for notifications table,Backend,Medium,sneha,2025-01-11,2025-01-24,3.9
49,Improve accessibility of notifications f,Improve accessibility of notifications form fields,UI/UX,Low,vikram,2025-10-03,2025-10-26,4.2
50,"When possible, allow users to filter adm","When possible, allow users to filter admin by peak load",Feature Request,Medium,priya,2025-03-26,2025-04-07,6.5
51,High priority: need to fix the issue aff,High priority: need to fix the issue affecting reporting performance,Backend,High,rohan,2025-04-04,2025-04-08,2.5
52,Please investigate the item layout for s,Please investigate the item layout for search,UI/UX,Medium,sneha,2025-05-10,2025-05-19,3.3
53,Application crashes when multiple is cli,Application crashes when multiple is clicked on the user profile page,Testing,High,arjun,2025-05-07,2025-05-12,9.4
54,Refactor auth service to reduce latency ,Refactor auth service to reduce latency during peak load,Backend,Medium,priya,2025-05-12,2025-05-23,6.4
55,High priority: optimize database query f,High priority: optimize database query for notifications table,Backend,High,sneha,2025-10-22,2025-10-29,5.4
56,Deployment issue affecting notifications,Deployment issue affecting notifications during signup,DevOps,Medium,arjun,2025-03-03,2025-03-16,9.8
57,Document deployment steps for submit but,Document deployment steps for submit button environment,Documentation,Medium,rohan,2025-02-24,2025-03-08,2.7
58,Please investigate the task related to u,Please investigate the task related to user profile infrastructure,DevOps,Urgent,vikram,2025-05-19,2025-05-24,3.8
59,Need to resolve the item around auth tes,Need to resolve the item around auth test failures,Testing,Medium,sneha,2025-02-14,2025-02-25,6.2
60,Please prioritize — please investigate t,Please prioritize — please investigate the item to support auth customization,Feature Request,High,rohan,2025-04-19,2025-04-25,6.1
61,Docs missing for search configuration un,Docs missing for search configuration under signup,Documentation,Low,vikram,2025-07-28,2025-08-19,1.3
62,Need to address the ticket around auth t,Need to address the ticket around auth test failures,Testing,Medium,neha,2025-04-24,2025-05-06,3.5
63,Please handle the ticket to support admi,Please handle the ticket to support admin customization,Feature Request,Medium,rohan,2025-06-30,2025-07-12,4.4
64,Update API docs for the user profile end,Update API docs for the user profile endpoint,Documentation,Low,priya,2025-04-05,2025-04-25,6.7
65,Deployment issue affecting reporting dur,Deployment issue affecting reporting during monthly,DevOps,High,rohan,2025-07-04,2025-07-09,6.1
66,High priority: login fails with error 50,High priority: login fails with error 500 after multiple attempts,Bug,High,arjun,2025-09-09,2025-09-13,4.7
67,Need to check the issue affecting search,Need to check the issue affecting search performance,Backend,Medium,sneha,2025-02-03,2025-02-15,0.6
68,Please prioritize — unexpected behavior ,Please prioritize — unexpected behavior in user profile when using submit button,Bug,High,vikram,2025-05-08,2025-05-12,4.9
69,QA found case in reporting during monthl,QA found case in reporting during monthly,Testing,Medium,sneha,2025-06-02,2025-06-15,5.2
70,Update API docs for the auth endpoint,Update API docs for the auth endpoint,Documentation,Medium,priya,2025-02-11,2025-02-21,21.9
71,Implement export to CSV for admin report,Implement export to CSV for admin reports,UI/UX,Medium,arjun,2025-05-25,2025-06-06,4.3
72,Configure auto-scaling for notifications,Configure auto-scaling for notifications during peak monthly,DevOps,Medium,arjun,2025-05-17,2025-05-27,6.3
73,"When possible, memory leak detected in a","When possible, memory leak detected in auth module during mobile",Bug,Medium,vikram,2025-07-26,2025-08-06,10.9
74,Optimize database query for payment tabl,Optimize database query for payment table,DevOps,Medium,arjun,2025-10-22,2025-11-04,8.5
75,Please prioritize — increase test covera,Please prioritize — increase test coverage for payment edge cases,Testing,High,sneha,2025-04-03,2025-04-11,12.6
76,URGENT: set up CI/CD pipeline for search,URGENT: set up CI/CD pipeline for search service,DevOps,Urgent,neha,2025-06-18,2025-06-22,1.3
77,Please fix the ticket layout for notific,Please fix the ticket layout for notifications,UI/UX,Medium,arjun,2025-07-26,2025-08-08,2.1
78,ASAP — please review the request related,ASAP — please review the request related to payment infrastructure,DevOps,Urgent,rohan,2025-01-27,2025-01-29,3.1
79,Whenever convenient — add caching layer ,Whenever convenient — add caching layer to auth API,Backend,Low,rohan,2025-05-03,2025-05-23,1.1
80,Need to update the ticket affecting user,Need to update the ticket affecting user profile performance,Backend,Low,neha,2025-03-20,2025-04-11,5.3
81,"When possible, document deployment steps","When possible, document deployment steps for peak load environment",Documentation,Medium,vikram,2025-04-08,2025-04-21,2.2
82,Set up CI/CD pipeline for notifications ,Set up CI/CD pipeline for notifications service,DevOps,Urgent,neha,2025-01-02,2025-01-05,13.7
83,Docs missing for admin configuration und,Docs missing for admin configuration under signup,Documentation,Medium,sneha,2025-10-06,2025-10-18,2.5
84,Write onboarding guide for admin module,Write onboarding guide for admin module,Feature Request,High,neha,2025-07-15,2025-07-22,3.9
85,Fix flaky integration test in payment du,Fix flaky integration test in payment during peak load,Testing,High,arjun,2025-02-21,2025-02-28,8.9
86,Critical — optimize database query for u,Critical — optimize database query for user profile table,Bug,Urgent,neha,2025-06-23,2025-06-28,1.6
87,Improve accessibility of auth form field,Improve accessibility of auth form fields,UI/UX,Medium,arjun,2025-01-19,2025-02-01,1.0
88,Allow users to filter auth by checkout,Allow users to filter auth by checkout,Feature Request,Medium,priya,2025-02-21,2025-03-05,5.7
89,Set up CI/CD pipeline for search service,Set up CI/CD pipeline for search service,DevOps,Medium,vikram,2025-09-29,2025-10-11,6.1
90,ASAP — fix broken deployment on checkout,ASAP — fix broken deployment on checkout server,DevOps,Urgent,sneha,2025-03-15,2025-03-17,8.7
91,Configure auto-scaling for payment durin,Configure auto-scaling for payment during peak signup,Testing,Medium,neha,2025-10-28,2025-11-08,7.3
92,Please review the ticket layout for sear,Please review the ticket layout for search,UI/UX,Medium,rohan,2025-07-15,2025-07-28,6.2
93,"When possible, add caching layer to noti","When possible, add caching layer to notifications API",Backend,Medium,neha,2025-01-26,2025-02-08,2.8
94,Improve accessibility of notifications f,Improve accessibility of notifications form fields,UI/UX,High,rohan,2025-04-08,2025-04-16,6.0
95,Fix broken deployment on signup server,Fix broken deployment on signup server,Testing,Urgent,rohan,2025-03-09,2025-03-10,6.2
96,Write onboarding guide for user profile ,Write onboarding guide for user profile module,Documentation,Medium,rohan,2025-05-12,2025-05-24,2.7
97,Set up CI/CD pipeline for payment servic,Set up CI/CD pipeline for payment service,DevOps,Urgent,rohan,2025-07-23,2025-07-28,16.3
98,Blocking release — application crashes w,Blocking release — application crashes when multiple is clicked on the reporting page,Bug,Urgent,neha,2025-07-10,2025-07-11,7.1
99,Please review the problem to support sea,Please review the problem to support search customization,Feature Request,Medium,arjun,2025-06-04,2025-06-16,2.1
100,Whenever convenient — add dark mode supp,Whenever convenient — add dark mode support to the admin page,Feature Request,Low,neha,2025-08-21,2025-09-11,8.7
101,Please prioritize — deployment ticket af,Please prioritize — deployment ticket affecting reporting during peak load,DevOps,High,neha,2025-05-24,2025-05-28,9.7
102,Need to handle the issue explaining noti,Need to handle the issue explaining notifications setup,Documentation,Low,sneha,2025-07-03,2025-07-22,6.8
103,Whenever convenient — update API docs fo,Whenever convenient — update API docs for the notifications endpoint,Documentation,Low,rohan,2025-01-11,2025-01-30,4.1
104,Critical — please review the request to ,Critical — please review the request to support payment customization,Feature Request,Urgent,arjun,2025-03-17,2025-03-22,2.6
105,Time-sensitive — write onboarding guide ,Time-sensitive — write onboarding guide for reporting module,Documentation,High,rohan,2025-03-09,2025-03-13,4.7
106,Time-sensitive — qA found item in paymen,Time-sensitive — qA found item in payment during multiple,Testing,High,sneha,2025-02-28,2025-03-04,6.4
107,Time-sensitive — visual inconsistency on,Time-sensitive — visual inconsistency on payment during mobile,Feature Request,High,arjun,2025-08-23,2025-08-27,5.1
108,Please address the problem layout for pa,Please address the problem layout for payment,Feature Request,High,priya,2025-06-14,2025-06-22,13.0
109,Need to handle the ticket where reportin,Need to handle the ticket where reporting breaks under signup,Bug,Medium,vikram,2025-08-21,2025-09-03,7.8
110,Low priority — redesign the auth dashboa,Low priority — redesign the auth dashboard for better readability,UI/UX,Low,sneha,2025-08-21,2025-09-12,2.4
111,Please resolve the item related to auth ,Please resolve the item related to auth infrastructure,DevOps,Low,arjun,2025-08-31,2025-09-19,1.9
112,Low priority — need to handle the case a,Low priority — need to handle the case around auth test failures,Testing,Low,rohan,2025-10-15,2025-11-07,7.1
113,Configure auto-scaling for auth during p,Configure auto-scaling for auth during peak monthly,Testing,Medium,arjun,2025-06-09,2025-06-20,4.2
114,Time-sensitive — refactor admin service ,Time-sensitive — refactor admin service to reduce latency during signup,Backend,High,priya,2025-05-23,2025-05-31,8.3
115,QA found request in notifications during,QA found request in notifications during monthly,Testing,Medium,priya,2025-05-17,2025-05-26,7.1
116,Document deployment steps for multiple e,Document deployment steps for multiple environment,Documentation,Medium,priya,2025-07-25,2025-08-03,4.7
117,Please prioritize — set up CI/CD pipelin,Please prioritize — set up CI/CD pipeline for auth service,DevOps,High,vikram,2025-06-09,2025-06-15,2.4
118,"No rush, but optimize database query for","No rush, but optimize database query for user profile table",Backend,Low,sneha,2025-09-06,2025-09-29,1.1
119,"When possible, visual inconsistency on s","When possible, visual inconsistency on search during submit button",UI/UX,Medium,arjun,2025-09-27,2025-10-08,5.9
120,Please review the item to support paymen,Please review the item to support payment customization,Feature Request,Medium,rohan,2025-05-11,2025-05-22,1.6
121,Low priority — unexpected behavior in us,Low priority — unexpected behavior in user profile when using peak load,Bug,Low,sneha,2025-07-01,2025-07-20,2.3
122,Please prioritize — need to update the c,Please prioritize — need to update the case around admin test failures,Testing,High,arjun,2025-08-02,2025-08-08,5.6
123,"No rush, but improve accessibility of no","No rush, but improve accessibility of notifications form fields",UI/UX,Low,sneha,2025-02-24,2025-03-16,5.2
124,Optimize database query for notification,Optimize database query for notifications table,Backend,Medium,neha,2025-02-09,2025-02-22,1.8
125,Login fails with error 500 after monthly,Login fails with error 500 after monthly attempts,Bug,High,arjun,2025-03-17,2025-03-22,10.5
126,Implement export to CSV for user profile,Implement export to CSV for user profile reports,Feature Request,Low,vikram,2025-08-26,2025-09-18,10.3
127,Visual inconsistency on auth during sign,Visual inconsistency on auth during signup,UI/UX,Medium,sneha,2025-08-14,2025-08-23,7.3
128,Improve accessibility of payment form fi,Improve accessibility of payment form fields,UI/UX,Medium,rohan,2025-01-30,2025-02-10,7.3
129,Time-sensitive — users report reporting ,Time-sensitive — users report reporting stops responding during submit button,Bug,High,neha,2025-08-19,2025-08-27,7.3
130,Add notification system for mobile event,Add notification system for mobile events,Feature Request,Medium,neha,2025-02-13,2025-02-26,9.7
131,"No rush, but requesting new option for a","No rush, but requesting new option for admin during peak load",Feature Request,Low,arjun,2025-06-23,2025-07-16,8.0
132,Please prioritize — increase test covera,Please prioritize — increase test coverage for search edge cases,Testing,High,arjun,2025-03-18,2025-03-24,2.6
133,High priority: add caching layer to auth,High priority: add caching layer to auth API,Backend,High,priya,2025-07-12,2025-07-18,4.1
134,Blocking release — deployment request af,Blocking release — deployment request affecting auth during submit button,DevOps,Urgent,sneha,2025-04-20,2025-04-23,20.4
135,Implement export to CSV for payment repo,Implement export to CSV for payment reports,Feature Request,Low,arjun,2025-10-04,2025-10-27,0.7
136,"When possible, deployment task affecting","When possible, deployment task affecting reporting during checkout",DevOps,Medium,arjun,2025-03-26,2025-04-07,3.4
137,Fix alignment issue on reporting page fo,Fix alignment issue on reporting page for peak load screen size,UI/UX,Medium,rohan,2025-10-01,2025-10-11,10.5
138,Fix flaky integration test in auth durin,Fix flaky integration test in auth during multiple,Testing,High,sneha,2025-09-15,2025-09-23,2.7
139,Please prioritize — please resolve the i,Please prioritize — please resolve the issue to support notifications customization,Feature Request,High,arjun,2025-02-22,2025-03-02,8.1
140,Low priority — write onboarding guide fo,Low priority — write onboarding guide for admin module,Documentation,Low,sneha,2025-06-28,2025-07-17,5.2
141,Please prioritize — memory leak detected,Please prioritize — memory leak detected in admin module during checkout,Bug,High,priya,2025-06-21,2025-06-26,2.9
142,Users report auth stops responding durin,Users report auth stops responding during peak load,Bug,Medium,arjun,2025-01-03,2025-01-12,0.5
143,Write onboarding guide for auth module,Write onboarding guide for auth module,Documentation,Low,priya,2025-03-04,2025-03-23,5.8
144,Visual inconsistency on payment during p,Visual inconsistency on payment during peak load,UI/UX,Medium,vikram,2025-01-09,2025-01-22,2.5
145,Allow users to filter payment by peak lo,Allow users to filter payment by peak load,Feature Request,Medium,rohan,2025-02-13,2025-02-26,4.6
146,Need to fix the ticket where notificatio,Need to fix the ticket where notifications breaks under mobile,Testing,Urgent,neha,2025-07-11,2025-07-14,7.2
147,Please prioritize — application crashes ,Please prioritize — application crashes when multiple is clicked on the user profile page,Bug,High,rohan,2025-06-30,2025-07-08,9.2
148,Time-sensitive — need to check the case ,Time-sensitive — need to check the case around admin test failures,Testing,High,rohan,2025-08-23,2025-08-27,3.4
149,Whenever convenient — implement export t,Whenever convenient — implement export to CSV for search reports,Feature Request,Low,rohan,2025-01-19,2025-02-08,2.9
150,Please prioritize — update API docs for ,Please prioritize — update API docs for the auth endpoint,Documentation,High,sneha,2025-07-24,2025-07-31,1.5
151,URGENT: need to handle the case explaini,URGENT: need to handle the case explaining admin setup,Documentation,Urgent,vikram,2025-02-10,2025-02-14,9.5
152,"No rush, but increase test coverage for ","No rush, but increase test coverage for payment edge cases",Testing,Low,neha,2025-08-07,2025-08-27,18.5
153,Redesign the notifications dashboard for,Redesign the notifications dashboard for better readability,UI/UX,Medium,neha,2025-01-30,2025-02-08,10.2
154,Time-sensitive — deployment issue affect,Time-sensitive — deployment issue affecting auth during monthly,DevOps,High,priya,2025-08-13,2025-08-17,11.7
155,Unexpected behavior in search when using,Unexpected behavior in search when using multiple,Bug,Medium,sneha,2025-07-09,2025-07-20,2.7
156,Low priority — fix flaky integration tes,Low priority — fix flaky integration test in search during mobile,Testing,Low,sneha,2025-01-14,2025-02-03,6.9
157,"When possible, server-side search logic ","When possible, server-side search logic fails under submit button",Backend,Medium,arjun,2025-09-09,2025-09-19,8.6
158,Add notification system for checkout eve,Add notification system for checkout events,Feature Request,High,neha,2025-06-13,2025-06-19,2.0
159,Memory leak detected in notifications mo,Memory leak detected in notifications module during multiple,Bug,High,vikram,2025-03-31,2025-04-06,14.4
160,"No rush, but implement export to CSV for","No rush, but implement export to CSV for user profile reports",Feature Request,Low,vikram,2025-07-08,2025-07-30,1.3
161,Add dark mode support to the search page,Add dark mode support to the search page,Feature Request,Medium,arjun,2025-07-29,2025-08-11,12.9
162,Critical — requesting new option for adm,Critical — requesting new option for admin during submit button,Feature Request,Urgent,priya,2025-10-10,2025-10-15,1.2
163,Critical — need to fix the case around n,Critical — need to fix the case around notifications test failures,Testing,Urgent,neha,2025-03-24,2025-03-27,2.1
164,"When possible, please update the item to","When possible, please update the item to support notifications customization",Feature Request,Medium,vikram,2025-06-05,2025-06-18,7.0
165,Time-sensitive — login fails with error ,Time-sensitive — login fails with error 500 after mobile attempts,Bug,High,arjun,2025-06-22,2025-06-30,5.3
166,Time-sensitive — write unit tests for au,Time-sensitive — write unit tests for auth module,Testing,High,neha,2025-01-16,2025-01-23,3.7
167,"When possible, add caching layer to user","When possible, add caching layer to user profile API",Bug,Medium,sneha,2025-08-01,2025-08-13,14.0
168,Implement export to CSV for notification,Implement export to CSV for notifications reports,Feature Request,Medium,rohan,2025-07-24,2025-08-03,1.6
169,High priority: add caching layer to admi,High priority: add caching layer to admin API,Backend,High,vikram,2025-05-29,2025-06-05,4.4
170,Fix alignment issue on search page for m,Fix alignment issue on search page for monthly screen size,UI/UX,Low,sneha,2025-09-21,2025-10-13,7.6
171,"No rush, but update API docs for the rep","No rush, but update API docs for the reporting endpoint",Feature Request,Low,neha,2025-09-11,2025-10-04,6.2
172,Please prioritize — deployment ticket af,Please prioritize — deployment ticket affecting notifications during submit button,DevOps,High,arjun,2025-07-26,2025-08-01,3.0
173,"No rush, but visual inconsistency on sea","No rush, but visual inconsistency on search during checkout",UI/UX,Low,neha,2025-05-24,2025-06-16,3.0
174,Optimize database query for search table,Optimize database query for search table,Backend,Low,vikram,2025-04-12,2025-05-05,9.1
175,Redesign the user profile dashboard for ,Redesign the user profile dashboard for better readability,UI/UX,Medium,rohan,2025-09-21,2025-10-01,9.4
176,"When possible, need to resolve the reque","When possible, need to resolve the request affecting auth performance",Backend,Medium,sneha,2025-10-16,2025-10-27,6.3
177,Whenever convenient — increase test cove,Whenever convenient — increase test coverage for payment edge cases,Testing,Low,sneha,2025-01-14,2025-02-06,2.4
178,ASAP — docs missing for user profile con,ASAP — docs missing for user profile configuration under mobile,Documentation,Urgent,vikram,2025-05-05,2025-05-06,3.1
179,Set up CI/CD pipeline for search service,Set up CI/CD pipeline for search service,DevOps,Medium,neha,2025-08-30,2025-09-08,4.9
180,Please address the request to support au,Please address the request to support auth customization,Feature Request,Medium,vikram,2025-09-30,2025-10-11,5.5
181,Document deployment steps for mobile env,Document deployment steps for mobile environment,Documentation,Medium,neha,2025-06-02,2025-06-13,7.4
182,Add notification system for multiple eve,Add notification system for multiple events,Feature Request,Medium,arjun,2025-05-21,2025-06-01,4.3
183,Need to handle the case affecting notifi,Need to handle the case affecting notifications performance,Backend,High,rohan,2025-05-28,2025-06-01,8.9
184,Please resolve the request layout for us,Please resolve the request layout for user profile,UI/UX,Medium,priya,2025-10-28,2025-11-07,8.9
185,Please prioritize — need to review the i,Please prioritize — need to review the issue where auth breaks under checkout,Bug,High,arjun,2025-02-21,2025-02-26,12.0
186,Blocking release — refactor auth service,Blocking release — refactor auth service to reduce latency during peak load,Backend,Urgent,neha,2025-01-31,2025-02-01,5.1
187,Optimize database query for admin table,Optimize database query for admin table,Backend,Medium,neha,2025-09-11,2025-09-21,6.4
188,ASAP — write unit tests for search modul,ASAP — write unit tests for search module,Testing,Urgent,sneha,2025-03-10,2025-03-15,4.5
189,Low priority — update API docs for the u,Low priority — update API docs for the user profile endpoint,Feature Request,Low,neha,2025-06-01,2025-06-24,2.5
190,"No rush, but qA found case in auth durin","No rush, but qA found case in auth during monthly",Testing,Low,priya,2025-02-18,2025-03-10,18.3
191,Fix alignment issue on search page for s,Fix alignment issue on search page for submit button screen size,UI/UX,Medium,neha,2025-06-04,2025-06-17,11.0
192,"No rush, but add caching layer to user p","No rush, but add caching layer to user profile API",Backend,Low,neha,2025-09-15,2025-10-06,8.7
193,Memory leak detected in reporting module,Memory leak detected in reporting module during multiple,Bug,High,rohan,2025-08-21,2025-08-29,5.0
194,Time-sensitive — please review the case ,Time-sensitive — please review the case layout for reporting,UI/UX,High,sneha,2025-02-11,2025-02-19,2.3
195,Time-sensitive — optimize database query,Time-sensitive — optimize database query for payment table,Backend,High,priya,2025-10-02,2025-10-07,9.8
196,High priority: need to review the proble,High priority: need to review the problem explaining auth setup,Documentation,High,sneha,2025-08-17,2025-08-21,4.5
197,Add notification system for mobile event,Add notification system for mobile events,Feature Request,Medium,arjun,2025-07-22,2025-08-02,6.8
198,Set up CI/CD pipeline for admin service,Set up CI/CD pipeline for admin service,DevOps,Medium,arjun,2025-02-05,2025-02-17,3.1
199,Write onboarding guide for auth module,Write onboarding guide for auth module,Documentation,Low,arjun,2025-07-13,2025-08-04,6.0
200,ASAP — deployment issue affecting auth d,ASAP — deployment issue affecting auth during checkout,DevOps,Urgent,arjun,2025-04-25,2025-04-26,3.3
201,"No rush, but docs missing for reporting ","No rush, but docs missing for reporting configuration under peak load",Documentation,Low,neha,2025-05-22,2025-06-11,3.4
202,Low priority — need to fix the task arou,Low priority — need to fix the task around notifications test failures,Testing,Low,neha,2025-08-17,2025-09-09,6.0
203,Critical — fix broken deployment on sign,Critical — fix broken deployment on signup server,DevOps,Urgent,vikram,2025-01-29,2025-01-31,1.2
204,Low priority — docs missing for reportin,Low priority — docs missing for reporting configuration under multiple,Documentation,Low,sneha,2025-09-24,2025-10-14,1.3
205,Whenever convenient — docs missing for a,Whenever convenient — docs missing for auth configuration under mobile,Documentation,Low,vikram,2025-06-26,2025-07-18,2.7
206,Need to investigate the task explaining ,Need to investigate the task explaining search setup,Documentation,Medium,neha,2025-04-26,2025-05-07,4.2
207,Please prioritize — add dark mode suppor,Please prioritize — add dark mode support to the admin page,Feature Request,High,neha,2025-04-15,2025-04-21,9.1
208,URGENT: users report payment stops respo,URGENT: users report payment stops responding during multiple,Bug,Urgent,neha,2025-04-07,2025-04-12,4.4
209,Please handle the item related to notifi,Please handle the item related to notifications infrastructure,Backend,High,priya,2025-03-02,2025-03-09,4.9
210,Please prioritize — fix broken deploymen,Please prioritize — fix broken deployment on peak load server,DevOps,High,rohan,2025-07-03,2025-07-09,4.0
211,Need to address the case explaining paym,Need to address the case explaining payment setup,Documentation,Medium,sneha,2025-07-09,2025-07-20,6.4
212,Time-sensitive — login fails with error ,Time-sensitive — login fails with error 500 after signup attempts,Bug,High,priya,2025-08-02,2025-08-08,2.4
213,"When possible, add notification system f","When possible, add notification system for mobile events",Feature Request,Medium,sneha,2025-09-08,2025-09-20,4.6
214,Allow users to filter user profile by ch,Allow users to filter user profile by checkout,Feature Request,Medium,arjun,2025-01-31,2025-02-13,6.7
215,Write unit tests for payment module,Write unit tests for payment module,Testing,High,priya,2025-03-19,2025-03-23,5.9
216,Optimize database query for auth table,Optimize database query for auth table,Backend,Medium,arjun,2025-07-30,2025-08-08,5.0
217,Server-side payment logic fails under mu,Server-side payment logic fails under multiple,Backend,High,priya,2025-02-19,2025-02-27,5.1
218,Please handle the item to support notifi,Please handle the item to support notifications customization,UI/UX,Low,priya,2025-08-24,2025-09-16,7.2
219,Set up CI/CD pipeline for notifications ,Set up CI/CD pipeline for notifications service,DevOps,Medium,neha,2025-01-29,2025-02-07,18.8
220,Add notification system for signup event,Add notification system for signup events,Feature Request,Low,priya,2025-09-28,2025-10-17,2.6
221,Requesting new option for admin during m,Requesting new option for admin during mobile,Feature Request,High,vikram,2025-05-24,2025-06-01,19.2
